current GPU memory info FREE: 11289231360 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
current GPU memory info FREE: 11287134208 Bytes, Total: 11713052672 Bytes.colsize: 32770, rowsize: 32770, allocates: 4295491600 Bytes.
