==21562== NVPROF is profiling process 21562, command: ./GPU 10 10
==21562== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21562== Profiling application: ./GPU 10 10
==21562== Profiling result:
==21562== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K40m (0)"
    Kernel: GPU(int*, int*, int*, int, int, int, int, int)
       2047                  l1_cache_global_hit_rate                                    L1 Global Hit Rate       0.00%       0.00%       0.00%
       2047                   l1_cache_local_hit_rate                                     L1 Local Hit Rate       0.00%       0.00%       0.00%
       2047                             sm_efficiency                               Multiprocessor Activity       1.65%      49.93%      23.60%
       2047                                       ipc                                          Executed IPC    0.015394    0.032465    0.027915
       2047                        achieved_occupancy                                    Achieved Occupancy    0.018960    0.032861    0.029554
       2047                  gld_requested_throughput                      Requested Global Load Throughput  3.6022MB/s  2.5800GB/s  1.3215GB/s
       2047                  gst_requested_throughput                     Requested Global Store Throughput  922.16KB/s  790.96MB/s  397.68MB/s
       2047                    sm_efficiency_instance                               Multiprocessor Activity       1.65%      49.93%      23.60%
       2047                              ipc_instance                                          Executed IPC    0.015394    0.032465    0.027915
       2047                      inst_replay_overhead                           Instruction Replay Overhead    0.317073    2.945736    2.675836
       2047                    shared_replay_overhead                         Shared Memory Replay Overhead    0.000000    0.000000    0.000000
       2047                    global_replay_overhead                         Global Memory Replay Overhead    0.000000    2.604651    2.334089
       2047              global_cache_replay_overhead                   Global Memory Cache Replay Overhead    0.000000    0.000000    0.000000
       2047                        tex_cache_hit_rate                                Texture Cache Hit Rate       0.00%       0.00%       0.00%
       2047                      tex_cache_throughput                              Texture Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
       2047                      dram_read_throughput                         Device Memory Read Throughput  84.940MB/s  10.648GB/s  5.1223GB/s
       2047                     dram_write_throughput                        Device Memory Write Throughput  12.926MB/s  12.640GB/s  5.6624GB/s
       2047                            gst_throughput                               Global Store Throughput  7.2043MB/s  6.1794GB/s  3.1125GB/s
       2047                            gld_throughput                                Global Load Throughput  28.817MB/s  12.335GB/s  6.2948GB/s
       2047                     local_replay_overhead                    Local Memory Cache Replay Overhead    0.000000    0.000000    0.000000
       2047                         shared_efficiency                              Shared Memory Efficiency       0.00%       0.00%       0.00%
       2047                            gld_efficiency                         Global Memory Load Efficiency      12.50%      22.22%      20.98%
       2047                            gst_efficiency                        Global Memory Store Efficiency      12.50%      12.50%      12.50%
       2047                       l2_l1_read_hit_rate                                L2 Hit Rate (L1 Reads)       0.00%      90.38%      59.50%
       2047                  l2_texture_read_hit_rate                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
       2047                     l2_l1_read_throughput                              L2 Throughput (L1 Reads)  28.817MB/s  12.335GB/s  6.2948GB/s
       2047                l2_texture_read_throughput                         L2 Throughput (Texture Reads)  0.00000B/s  0.00000B/s  0.00000B/s
