==11941== NVPROF is profiling process 11941, command: ./GPU_TILE 10 10
==11941== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11941== Profiling application: ./GPU_TILE 10 10
==11941== Profiling result:
==11941== Metric result:
Invocations                               Metric Name                                    Metric Description         Min         Max         Avg
Device "Tesla K40m (0)"
    Kernel: GPU(int, int, int, int*, int, int, int, int, int*, int*)
        256                  l1_cache_global_hit_rate                                    L1 Global Hit Rate       0.00%       0.00%       0.00%
        256                   l1_cache_local_hit_rate                                     L1 Local Hit Rate       0.00%       0.00%       0.00%
        256                             sm_efficiency                               Multiprocessor Activity       6.27%       6.40%       6.31%
        256                                       ipc                                          Executed IPC    0.140999    0.158460    0.144716
        256                        achieved_occupancy                                    Achieved Occupancy    0.046873    0.046874    0.046874
        256                  gld_requested_throughput                      Requested Global Load Throughput  483.87MB/s  540.20MB/s  494.00MB/s
        256                  gst_requested_throughput                     Requested Global Store Throughput  256.16MB/s  285.99MB/s  261.31MB/s
        256                    sm_efficiency_instance                               Multiprocessor Activity       6.27%       6.40%       6.31%
        256                              ipc_instance                                          Executed IPC    0.140999    0.158460    0.144716
        256                      inst_replay_overhead                           Instruction Replay Overhead    0.088482    0.088892    0.088698
        256                    shared_replay_overhead                         Shared Memory Replay Overhead    0.000000    0.000000    0.000000
        256                    global_replay_overhead                         Global Memory Replay Overhead    0.003737    0.003749    0.003742
        256              global_cache_replay_overhead                   Global Memory Cache Replay Overhead    0.000000    0.000000    0.000000
        256                        tex_cache_hit_rate                                Texture Cache Hit Rate       0.00%       0.00%       0.00%
        256                      tex_cache_throughput                              Texture Cache Throughput  0.00000B/s  0.00000B/s  0.00000B/s
        256                      dram_read_throughput                         Device Memory Read Throughput  9.8851MB/s  361.78MB/s  286.10MB/s
        256                     dram_write_throughput                        Device Memory Write Throughput  320.65MB/s  357.98MB/s  327.11MB/s
        256                            gst_throughput                               Global Store Throughput  256.16MB/s  285.99MB/s  261.31MB/s
